timestamp,energy_price_in,energy_price_out,energy_energy_in,energy_energy_out,energy_quality
1616540400,500,1500,100000,100000,0
1616541300,500,1500,100000,100000,0
1616542200,500,1500,100000,100000,0
1616543100,500,1500,100000,100000,0
1616544000,500,1500,100000,100000,0
1616544900,500,1500,100000,100000,0
1616545800,500,1500,100000,100000,0
1616546700,500,1500,100000,100000,0
1616547600,500,1500,100000,100000,0
1616548500,500,1500,100000,100000,0
1616549400,500,1500,100000,100000,0
1616550300,500,1500,100000,100000,0
1616551200,500,1500,100000,100000,0
1616552100,500,1500,100000,100000,0
1616553000,500,1500,100000,100000,0
1616553900,500,1500,100000,100000,0
1616554800,500,1500,100000,100000,0
1616555700,500,1500,100000,100000,0
1616556600,500,1500,100000,100000,0
1616557500,500,1500,100000,100000,0
1616558400,500,1500,100000,100000,0
1616559300,500,1500,100000,100000,0
1616560200,500,1500,100000,100000,0
1616561100,500,1500,100000,100000,0
1616562000,500,1500,100000,100000,0
1616562900,500,1500,100000,100000,0
1616563800,500,1500,100000,100000,0
1616564700,500,1500,100000,100000,0
1616565600,500,1500,100000,100000,0
1616566500,500,1500,100000,100000,0
1616567400,500,1500,100000,100000,0
1616568300,500,1500,100000,100000,0
1616569200,500,1500,100000,100000,0
1616570100,500,1500,100000,100000,0
1616571000,500,1500,100000,100000,0
1616571900,500,1500,100000,100000,0
1616572800,500,1500,100000,100000,0
1616573700,500,1500,100000,100000,0
1616574600,500,1500,100000,100000,0
1616575500,500,1500,100000,100000,0
1616576400,500,1500,100000,100000,0
1616577300,500,1500,100000,100000,0
1616578200,500,1500,100000,100000,0
1616579100,500,1500,100000,100000,0
1616580000,500,1500,100000,100000,0
1616580900,500,1500,100000,100000,0
1616581800,500,1500,100000,100000,0
1616582700,500,1500,100000,100000,0
1616583600,500,1500,100000,100000,0
1616584500,500,1500,100000,100000,0
1616585400,500,1500,100000,100000,0
1616586300,500,1500,100000,100000,0
1616587200,500,1500,100000,100000,0
1616588100,500,1500,100000,100000,0
1616589000,500,1500,100000,100000,0
1616589900,500,1500,100000,100000,0
1616590800,500,1500,100000,100000,0
1616591700,500,1500,100000,100000,0
1616592600,500,1500,100000,100000,0
1616593500,500,1500,100000,100000,0
1616594400,500,1500,100000,100000,0
1616595300,500,1500,100000,100000,0
1616596200,500,1500,100000,100000,0
1616597100,500,1500,100000,100000,0
1616598000,500,1500,100000,100000,0
1616598900,500,1500,100000,100000,0
1616599800,500,1500,100000,100000,0
1616600700,500,1500,100000,100000,0
1616601600,500,1500,100000,100000,0
1616602500,500,1500,100000,100000,0
1616603400,500,1500,100000,100000,0
1616604300,500,1500,100000,100000,0
1616605200,500,1500,100000,100000,0
1616606100,500,1500,100000,100000,0
1616607000,500,1500,100000,100000,0
1616607900,500,1500,100000,100000,0
1616608800,500,1500,100000,100000,0
1616609700,500,1500,100000,100000,0
1616610600,500,1500,100000,100000,0
1616611500,500,1500,100000,100000,0
1616612400,500,1500,100000,100000,0
1616613300,500,1500,100000,100000,0
1616614200,500,1500,100000,100000,0
1616615100,500,1500,100000,100000,0
1616616000,500,1500,100000,100000,0
1616616900,500,1500,100000,100000,0
1616617800,500,1500,100000,100000,0
1616618700,500,1500,100000,100000,0
1616619600,500,1500,100000,100000,0
1616620500,500,1500,100000,100000,0
1616621400,500,1500,100000,100000,0
1616622300,500,1500,100000,100000,0
1616623200,500,1500,100000,100000,0
1616624100,500,1500,100000,100000,0
1616625000,500,1500,100000,100000,0
1616625900,500,1500,100000,100000,0
1616626800,500,1500,100000,100000,0
1616627700,500,1500,100000,100000,0
1616628600,500,1500,100000,100000,0
1616629500,500,1500,100000,100000,0
1616630400,500,1500,100000,100000,0
1616631300,500,1500,100000,100000,0
1616632200,500,1500,100000,100000,0
1616633100,500,1500,100000,100000,0
1616634000,500,1500,100000,100000,0
1616634900,500,1500,100000,100000,0
1616635800,500,1500,100000,100000,0
1616636700,500,1500,100000,100000,0
1616637600,500,1500,100000,100000,0
1616638500,500,1500,100000,100000,0
1616639400,500,1500,100000,100000,0
1616640300,500,1500,100000,100000,0
1616641200,500,1500,100000,100000,0
1616642100,500,1500,100000,100000,0
1616643000,500,1500,100000,100000,0
1616643900,500,1500,100000,100000,0
1616644800,500,1500,100000,100000,0
1616645700,500,1500,100000,100000,0
1616646600,500,1500,100000,100000,0
1616647500,500,1500,100000,100000,0
1616648400,500,1500,100000,100000,0
1616649300,500,1500,100000,100000,0
1616650200,500,1500,100000,100000,0
1616651100,500,1500,100000,100000,0
1616652000,500,1500,100000,100000,0
1616652900,500,1500,100000,100000,0
1616653800,500,1500,100000,100000,0
1616654700,500,1500,100000,100000,0
1616655600,500,1500,100000,100000,0
1616656500,500,1500,100000,100000,0
1616657400,500,1500,100000,100000,0
1616658300,500,1500,100000,100000,0
1616659200,500,1500,100000,100000,0
1616660100,500,1500,100000,100000,0
1616661000,500,1500,100000,100000,0
1616661900,500,1500,100000,100000,0
1616662800,500,1500,100000,100000,0
1616663700,500,1500,100000,100000,0
1616664600,500,1500,100000,100000,0
1616665500,500,1500,100000,100000,0
1616666400,500,1500,100000,100000,0
1616667300,500,1500,100000,100000,0
1616668200,500,1500,100000,100000,0
1616669100,500,1500,100000,100000,0
1616670000,500,1500,100000,100000,0
1616670900,500,1500,100000,100000,0
1616671800,500,1500,100000,100000,0
1616672700,500,1500,100000,100000,0
1616673600,500,1500,100000,100000,0
1616674500,500,1500,100000,100000,0
1616675400,500,1500,100000,100000,0
1616676300,500,1500,100000,100000,0
1616677200,500,1500,100000,100000,0
1616678100,500,1500,100000,100000,0
1616679000,500,1500,100000,100000,0
1616679900,500,1500,100000,100000,0
1616680800,500,1500,100000,100000,0
1616681700,500,1500,100000,100000,0
1616682600,500,1500,100000,100000,0
1616683500,500,1500,100000,100000,0
1616684400,500,1500,100000,100000,0
1616685300,500,1500,100000,100000,0
1616686200,500,1500,100000,100000,0
1616687100,500,1500,100000,100000,0
1616688000,500,1500,100000,100000,0
1616688900,500,1500,100000,100000,0
1616689800,500,1500,100000,100000,0
1616690700,500,1500,100000,100000,0
1616691600,500,1500,100000,100000,0
1616692500,500,1500,100000,100000,0
1616693400,500,1500,100000,100000,0
1616694300,500,1500,100000,100000,0
1616695200,500,1500,100000,100000,0
1616696100,500,1500,100000,100000,0
1616697000,500,1500,100000,100000,0
1616697900,500,1500,100000,100000,0
1616698800,500,1500,100000,100000,0
1616699700,500,1500,100000,100000,0
1616700600,500,1500,100000,100000,0
1616701500,500,1500,100000,100000,0
1616702400,500,1500,100000,100000,0
1616703300,500,1500,100000,100000,0
1616704200,500,1500,100000,100000,0
1616705100,500,1500,100000,100000,0
1616706000,500,1500,100000,100000,0
1616706900,500,1500,100000,100000,0
1616707800,500,1500,100000,100000,0
1616708700,500,1500,100000,100000,0
1616709600,500,1500,100000,100000,0
1616710500,500,1500,100000,100000,0
1616711400,500,1500,100000,100000,0
